     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   6291456,        22,         0, 84738.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,b0e911e66cb82c068aeef891266692077b5e93a8bbc9989386031893be85785e,"{""d"":12,""p"":0.002,""rounds"":12}","{""avg_itr"":192,""base"":96}"
   6356992,        31,         0, 85161.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,b0e911e66cb82c068aeef891266692077b5e93a8bbc9989386031893be85785e,"{""d"":12,""p"":0.002,""rounds"":12}","{""avg_itr"":194,""base"":97}"
  13500416,        57,         0,170635.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,b0e911e66cb82c068aeef891266692077b5e93a8bbc9989386031893be85785e,"{""d"":12,""p"":0.002,""rounds"":12}","{""avg_itr"":412,""base"":206}"

   1441792,       100,         0, 31676.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,2609cc86dd4dd4b4d9211b3b3bab43da5ab2937b10bff3e987bff9812017b172,"{""d"":12,""p"":0.003,""rounds"":12}","{""avg_itr"":66,""base"":22}"
    196608,       144,         0,  8635.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,af1d6c8d23d7fe774dc6634254dd55aea74e9be98be80c0e77fa281a2fb2c955,"{""d"":12,""p"":0.004,""rounds"":12}","{""avg_itr"":18,""base"":3}"
     65536,       410,         0,  6817.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,f4e99987a4ab62c5a84bd6a52c6531695f28d2a9226467eaa0d2ba3ff7d019e5,"{""d"":12,""p"":0.005,""rounds"":12}","{""avg_itr"":13,""base"":1}"
     65536,      2763,         0, 15121.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,d281adbe229237f591092196efb29f3e2a7ca622443b16b74d656bfd4bff8fe2,"{""d"":12,""p"":0.006,""rounds"":12}","{""avg_itr"":40,""base"":1}"



    100000,     20033,         0,  5448.0,relay_bp,0492e4ae234a5041128a1c79eecf6f071aad02cbe24d008bddc999fe09267bb5,"{""d"":12,""p"":0.006,""rounds"":12}",
    100000,      4254,         0,  1817.0,relay_bp,c8610d426f473e5862b60f6c7fb511a70faf9e2e90dd26452650bf6fea91839d,"{""d"":12,""p"":0.005,""rounds"":12}",
    100000,       466,         0,   417.0,relay_bp,f781a951cbe84ebd7e368131c6ee44ee47a3b2396412479912f2d46f2d52536a,"{""d"":12,""p"":0.004,""rounds"":12}",
    300000,       113,         0,   339.0,relay_bp,1ec764637987f3bff490f523db588e341391e34ea4552270ea771ed19a35c0fd,"{""d"":12,""p"":0.003,""rounds"":12}",
   4600000,       100,         0,  2379.0,relay_bp,0a44955f01f7dd0898a19a64eb131cd0f4994b0136bcd3d8bca7dd31d538d474,"{""d"":12,""p"":0.002,""rounds"":12}",
  30600000,       100,         0, 11856.0,relay_bp,6b929e41484a542b7b7f3e7a75897ed6ea5736eceb7e5d1cefe7d290b460840d,"{""d"":12,""p"":0.0015,""rounds"":12}",
 237000000,       100,         0, 68244.0,relay_bp,830fccc447b23e42bcc1681c4984c8d2a9d4a76cc9e0e4d16c5a1bcad4ca8c09,"{""d"":12,""p"":0.001,""rounds"":12}",


     10000,      4075,         0, 15155.0,relay_bp_xyz,dc28d881bf98f0ab2d6efa784681e170251cdc8422ab9a1f946178e7369357dd,"{""d"":12,""p"":0.006,""rounds"":12}",
     10000,       755,         0,  7134.0,relay_bp_xyz,f58a08c6c658c01e03fe924d1b17d606d46f96567719e8e00ca8c6098b3315c9,"{""d"":12,""p"":0.005,""rounds"":12}",
     30000,       135,         0,  5821.0,relay_bp_xyz,d9b8d61d08d5a074c4d87a8cf39d4b13965ef21b5c47bf9e4c2002bcade4a50c,"{""d"":12,""p"":0.004,""rounds"":12}",
    590000,        93,         0, 42737.0,relay_bp_xyz,ca385a67074cbb2a663ad0bde507078db8f9978f0fbb664f43481d986a701f51,"{""d"":12,""p"":0.003,""rounds"":12}",

   2500000,        17,         0, 84249.0,relay_bp_xyz,b415b92b95d126305a2490dfdc54c1d8db288f5efa1f982f76f8c0173db697db,"{""d"":12,""p"":0.002,""rounds"":12}",
   2700000,        17,         0, 83648.0,relay_bp_xyz,b415b92b95d126305a2490dfdc54c1d8db288f5efa1f982f76f8c0173db697db,"{""d"":12,""p"":0.002,""rounds"":12}",

   6300000,        12,         0,162361.0,relay_bp_xyz,85e2f67a656a7e66d11e61b47c808642a533c86b5a154d95054f4b7d68bb3688,"{""d"":12,""p"":0.0015,""rounds"":12}",
   7700000,        10,         0,162636.0,relay_bp_xyz,85e2f67a656a7e66d11e61b47c808642a533c86b5a154d95054f4b7d68bb3688,"{""d"":12,""p"":0.0015,""rounds"":12}",
